,route,cnt_total
563,main-rabota-archive-rabota-internet,4
564,main-archive-internet-rabota-bonus,4
565,main-archive-news-internet-bonus,4
566,main-rabota-archive-main-internet,4
567,main-vklad-bonus-archive-news,4
568,main-archive-bonus-news-bonus,4
569,main-internet-tariffs-main-bonus,4
570,main-tariffs-online-main,4
571,main-rabota-digital-archive,4
572,main-archive-rabota-online-archive,4
573,main-tariffs-rabota-main,4
574,main-tariffs-internet-bonus-rabota,4
575,main-bonus-internet-rabota-online,4
576,main-vklad-main-news,4
577,main-bonus-main-vklad,4
578,main-archive-news-internet-archive,4
579,main-main-bonus-archive,4
580,main-vklad-archive-news,4
581,main-vklad-rabota-news-tariffs,4
582,main-vklad-internet-vklad,4
583,main-archive-internet-digital,4
584,main-online-rabota-vklad,4
585,main-archive-news-archive-rabota,4
586,main-archive-news-tariffs-rabota,4
587,main-bonus-internet-main,4
588,main-vklad-internet-archive,4
589,main-archive-online-archive-internet,4
590,main-internet-online-main,4
591,main-news-bonus-archive-internet,4
592,main-tariffs-vklad-internet,4
593,main-rabota-online-vklad-internet,4
594,main-bonus-rabota-internet-main,4
595,main-rabota-archive-internet-archive-rabota,4
596,main-online-internet-bonus-rabota,4
597,main-archive-internet-bonus-online,4
598,main-vklad-internet-online-rabota,4
599,main-rabota-archive-news-internet,4
600,main-online-bonus-main,4
601,main-vklad-news-internet,4
602,main-news-internet-rabota-bonus,4
603,main-rabota-bonus-internet-archive,4
604,main-archive-news-archive-tariffs,4
605,main-internet-main-news,4
606,main-rabota-archive-online-archive,4
607,main-archive-online-internet,4
608,main-tariffs-online-vklad,4
609,main-online-internet-rabota,4
610,main-bonus-internet-archive-tariffs,4
611,main-tariffs-news-main,4
612,main-archive-internet-rabota-archive,4
613,main-internet-bonus-archive-news,4
614,main-internet-news-tariffs-internet,4
615,main-rabota-archive-internet-vklad,4
616,main-vklad-tariffs-online,4
617,main-rabota-bonus-rabota-vklad,4
618,main-rabota-bonus-archive-tariffs,4
619,main-online-main-vklad,4
620,main-news-tariffs-vklad,4
621,main-digital-vklad,4
622,main-internet-main-vklad,4
623,main-internet-news-archive-rabota,4
624,main-bonus-online-vklad,4
625,main-tariffs-archive-rabota-internet,4
626,main-rabota-main-archive-news,4
627,main-tariffs-rabota-archive-bonus,4
628,main-internet-main-rabota-internet,4
629,main-tariffs-online-internet,4
630,main-internet-tariffs-vklad,4
631,main-archive-internet-bonus-tariffs,4
632,main-vklad-news-main,4
633,main-online-rabota-internet,4
634,main-bonus-rabota-archive-bonus,4
635,main-rabota-bonus-news-online,4
636,main-archive-rabota-bonus-online,4
637,main-bonus-vklad-bonus,4
638,main-tariffs-bonus-archive-tariffs,4
639,main-online-vklad-main,4
640,main-vklad-tariffs-news,4
641,main-vklad-online-internet,4
642,main-archive-bonus-archive-rabota,4
643,main-vklad-rabota-main,4
644,main-rabota-news-rabota-bonus,4
645,main-main-vklad,4
646,main-online-internet-tariffs,4
647,main-archive-news-archive-bonus,4
648,main-bonus-tariffs-news,4
649,main-news-vklad-bonus,4
650,main-digital-bonus-vklad,4
651,main-online-rabota-archive,4
652,main-vklad-online-tariffs,4
653,main-internet-news-internet-archive,4
654,main-online-main-bonus-news,4
655,main-news-online-vklad,4
656,main-archive-online-rabota-archive,4
657,main-rabota-main-archive-bonus,4
658,main-online-rabota-news-bonus,4
659,main-archive-rabota-tariffs-rabota,4
660,main-rabota-internet-main-internet,3
661,main-internet-tariffs-bonus-vklad,3
662,main-archive-vklad-rabota-online,3
663,main-rabota-internet-tariffs-rabota,3
664,main-vklad-bonus-main-tariffs,3
665,main-news-rabota-bonus-internet,3
666,main-archive-rabota-news-vklad,3
667,main-bonus-rabota-internet-tariffs,3
668,main-archive-online-main-online,3
669,main-vklad-news-main-rabota,3
670,main-archive-bonus-online-rabota,3
671,main-news-rabota-tariffs-archive,3
672,main-bonus-rabota-news-archive,3
673,main-online-news-archive-rabota,3
674,main-internet-tariffs-rabota-archive,3
675,main-bonus-internet-tariffs-bonus-news,3
676,main-bonus-internet-rabota-main-archive,3
677,main-archive-tariffs-news-rabota,3
678,main-bonus-vklad-bonus-rabota,3
679,main-internet-news-rabota-internet,3
680,main-online-tariffs-internet-main,3
681,main-rabota-news-vklad-bonus,3
682,main-online-main-internet,3
683,main-bonus-digital-internet,3
684,main-online-vklad-online,3
685,main-rabota-archive-vklad-archive,3
686,main-tariffs-internet-archive-main,3
687,main-rabota-vklad-online-vklad,3
688,main-bonus-main-archive-news,3
689,main-archive-online-news,3
690,main-internet-archive-news-main,3
691,main-news-vklad-bonus-archive,3
692,main-news-rabota-bonus-rabota,3
693,main-internet-news-vklad-archive,3
694,main-archive-tariffs-vklad-digital,3
695,main-online-internet-main,3
696,main-internet-tariffs-rabota-bonus,3
697,main-online-internet-rabota-internet,3
698,main-online-news-main-internet,3
699,main-internet-rabota-archive-bonus,3
700,main-archive-internet-tariffs-news,3
701,main-bonus-rabota-main-vklad,3
702,main-bonus-rabota-archive-main,3
703,main-rabota-archive-internet-tariffs,3
704,main-online-tariffs-news,3
705,main-news-vklad-archive-tariffs,3
706,main-rabota-news-tariffs-online,3
707,main-tariffs-vklad-news,3
708,main-internet-rabota-archive-main,3
709,main-tariffs-main-tariffs,3
710,main-bonus-archive-internet-archive,3
711,main-archive-rabota-news-internet-archive,3
712,main-main-online,3
713,main-archive-tariffs-rabota-archive,3
714,main-online-bonus-archive-bonus,3
715,main-bonus-tariffs-archive-rabota,3
716,main-online-rabota-news-archive,3
717,main-internet-news-bonus-tariffs,3
718,main-rabota-bonus-tariffs-archive,3
719,main-rabota-archive-vklad-bonus,3
720,main-bonus-archive-online-archive,3
721,main-news-bonus-news-internet,3
722,main-vklad-archive-tariffs-rabota,3
723,main-archive-online-archive-bonus,3
724,main-rabota-news-tariffs-vklad,3
725,main-internet-vklad-archive,3
726,main-tariffs-archive-news-bonus,3
727,main-tariffs-archive-news-internet,3
728,main-digital-news-rabota,3
729,main-internet-online-tariffs,3
730,main-archive-rabota-online-rabota,3
731,main-main-rabota-main,3
732,main-news-online-archive-tariffs,3
733,main-internet-rabota-bonus-rabota,3
734,main-archive-internet-bonus-rabota,3
735,main-online-news-internet,3
736,main-vklad-bonus-vklad,3
737,main-tariffs-bonus-internet-rabota,3
738,main-main-rabota-archive,3
739,main-archive-online-vklad,3
740,main-archive-vklad-online-tariffs,3
741,main-vklad-rabota-tariffs-rabota,3
742,main-news-bonus-rabota-online,3
743,main-internet-archive-rabota-tariffs,3
744,main-online-vklad-tariffs,3
745,main-archive-rabota-internet-tariffs,3
746,main-vklad-internet-tariffs-archive,3
747,main-vklad-main-archive-bonus,3
748,main-bonus-archive-rabota-main,3
749,main-archive-tariffs-bonus-rabota,3
750,main-tariffs-online-rabota-archive,3
751,main-online-tariffs-news-online,3
752,main-online-news-archive-news,3
753,main-rabota-news-tariffs-news,3
754,main-rabota-internet-bonus-tariffs,3
755,main-rabota-online-internet-archive,3
756,main-online-vklad-bonus,3
757,main-news-internet-bonus-news,3
758,main-archive-online-rabota-main,3
759,main-news-archive-news-internet,3
760,main-archive-main-archive-bonus,3
